field,value
age_range,25-34
assignment_P01_assigned,
assignment_P01_experimenter,
assignment_P01_notes,
assignment_P01_participant,P01
assignment_P01_suggested,with_tutor
assignment_P01_trial,T01
assignment_P02_assigned,
assignment_P02_experimenter,
assignment_P02_notes,
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,
assignment_P03_experimenter,
assignment_P03_notes,
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,
assignment_P04_experimenter,
assignment_P04_notes,
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,
assignment_P05_experimenter,
assignment_P05_notes,
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,
assignment_P06_experimenter,
assignment_P06_notes,
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,without_tutor
assignment_P07_experimenter,
assignment_P07_notes,
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,with_tutor
assignment_P08_experimenter,
assignment_P08_notes,
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,
assignment_P09_experimenter,
assignment_P09_notes,
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,
assignment_P10_experimenter,
assignment_P10_notes,
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,
assignment_P11_experimenter,
assignment_P11_notes,
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,
assignment_P12_experimenter,
assignment_P12_notes,
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,4
baseline_checklist_format,n/a
baseline_checklist_no_hmd_removal,n/a
baseline_checklist_used,n/a; with_tutor condition
checklist_pages,
cold_start_experience,tried before
completed,是的
condition,with_tutor
condition_specific_notes,"With-tutor run completed end-to-end by final telemetry/action review. Raw export summary undercounted completion as 5/33, but final observation and action timeline satisfy S01-S33. Telemetry/log summary from export: HelpRequests=7, LLMTriggers=7, VLMCalls=5, OverlayExecuted=10, OverlayRejected=0, FallbackCount=4. Main residual system issues: VLM was unnecessarily called on S10 and S20, and the final help cycle regressed to S20 after probe/four-down and later checklist states had already been completed."
confidence_before,5
date,2026-05-29
dcs_aircraft,FA-18C_hornet
dcs_experience,occasional
dcs_mission,FA-18C cold-start airfield scenario
dominant_hand,right
end_reason,Completed full cold-start checklist; final telemetry satisfies S01-S33 despite auto summary undercount.
end_time,2026-05-31T23:51:05Z
experimenter_id,Yu Zhang
experimenter_intervention,
fa18c_experience,tried before
flight_sim_experience,occasional
git_commit,d624df1
git_dirty,not checked during coding
help_hotkey,X1
hotas_experience,very little
launcher_used,manual CLI live-dcs with tutor
manual_coding_required,yes
model_endpoint,remote OpenAI-compatible simtutor base/vision endpoint
monitor_setup,fa18c_composite_panel_v2
multi_target_overlay_visible,yes; S08 used four-target display power/brightness overlay
notable_request_ids,959fea00-ccc4-42e3-8486-fad41f728ee1; c7847985-15ea-44a2-953a-7f5c81b01211; 975e8459-6b51-4c81-87f4-a41bed4eed64; 4ca007cb-5d41-4307-a4d4-b5347220d9c0; d1a2c1f4-56ae-4141-afe7-bf1ceb9b05a6; 9ed4e8f5-879b-403b-bd1b-29e685325db9; ed6cb2aa-c3f5-4f85-b682-107ac9922ae6
obs_1_notes,No OM/OR coded for Fire Test due established latch/order unreliability policy.
obs_1_observation,Final fire_test_a_complete=true and fire_test_b_complete=true. Raw A/B timing is not used for order scoring.
