field,value
age_range,25-34
assignment_P01_assigned,n/a
assignment_P01_experimenter,n/a
assignment_P01_notes,not part of this exported P04/T01 trial
assignment_P01_participant,P01
assignment_P01_suggested,with_tutor
assignment_P01_trial,T01
assignment_P02_assigned,n/a
assignment_P02_experimenter,n/a
assignment_P02_notes,not part of this exported P04/T01 trial
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,n/a
assignment_P03_experimenter,n/a
assignment_P03_notes,not part of this exported P04/T01 trial
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,with_tutor
assignment_P04_experimenter,E01
assignment_P04_notes,Actual exported trial is P04/T01 with_tutor. Raw log session_id is stale/sess-P01-T02 but export metadata was overridden to P04/T01.
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,n/a
assignment_P05_experimenter,n/a
assignment_P05_notes,not part of this exported P04/T01 trial
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,n/a
assignment_P06_experimenter,n/a
assignment_P06_notes,not part of this exported P04/T01 trial
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,n/a
assignment_P07_experimenter,n/a
assignment_P07_notes,not part of this exported P04/T01 trial
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,n/a
assignment_P08_experimenter,n/a
assignment_P08_notes,not part of this exported P04/T01 trial
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,n/a
assignment_P09_experimenter,n/a
assignment_P09_notes,not part of this exported P04/T01 trial
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,n/a
assignment_P10_experimenter,n/a
assignment_P10_notes,not part of this exported P04/T01 trial
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,n/a
assignment_P11_experimenter,n/a
assignment_P11_notes,not part of this exported P04/T01 trial
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,n/a
assignment_P12_experimenter,n/a
assignment_P12_notes,not part of this exported P04/T01 trial
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,6
baseline_checklist_format,VR kneeboard
baseline_checklist_no_hmd_removal,yes
baseline_checklist_used,yes
checklist_pages,DCS FA-18C Early Access Guide CN pp.93-98 on VR kneeboard
cold_start_experience,之前试过
completed,是的
condition,with_tutor
