ParticipantID,Condition,TrialID,StepID,StepTitle,Phase,Critical,Performed,Completed,FirstHelpTime_sec,HelpCount,FirstOverlayTargets,LastOverlayTargets,FirstFusedStepID,LastFusedStepID,EvidenceRefs,Auto_Error_OM,Auto_Error_CO,Auto_Error_OR,Auto_Error_PA,Auto_Error_SV,AutoConfidence,AutoEvidenceRefs,NeedsHumanReview,Error_OM,Error_CO,Error_OR,Error_PA,Error_SV,CoderID,CoderNotes,AutoCodingNotes
P04,with_tutor,T01,S01,BATTERY switch ON. Left/Right GEN switches in NORM/ON.,P1,yes,yes,yes,1780095468.9506445,1,battery_switch,battery_switch,S01,S01,help_cycle:30b4b140-53d5-478d-a690-231cc07db2e2;frames:1780095468274_000000;progression_to:S03,0,1,0,0,0,medium,action:2:unexpected_for_active_step;action:3:unexpected_for_active_step;action:3:unmapped_raw_key;action:4:unexpected_for_active_step;action:4:unmapped_raw_key;action:5:unexpected_for_active_step;action:5:unmapped_raw_key;action:6:unexpected_for_active_step;action:6:unmapped_raw_key;action:7:unexpected_for_active_step;action:7:unmapped_raw_key;action:8:unexpected_for_active_step;action:8:unmapped_raw_key;action:9:unexpected_for_active_step;action:9:unmapped_raw_key;action:10:unexpected_for_active_step;action:10:unmapped_raw_key;action:11:unexpected_for_active_step;action:11:unmapped_raw_key;action:12:unexpected_for_active_step;action:12:unmapped_raw_key;action:13:unexpected_for_active_step;action:13:unmapped_raw_key;action:14:unexpected_for_active_step;action:14:unmapped_raw_key;action:15:unexpected_for_active_step;action:15:unmapped_raw_key;action:16:unexpected_for_active_step;action:16:unmapped_raw_key;action:17:unmapped_raw_key;action:18:unmapped_raw_key;action:19:unmapped_raw_key;action:20:unmapped_raw_key;action:21:unmapped_raw_key;action:22:unmapped_raw_key;action:23:unmapped_raw_key;action:24:unmapped_raw_key;action:25:unmapped_raw_key;action:26:unmapped_raw_key;action:27:unmapped_raw_key;action:28:unmapped_raw_key;action:29:unmapped_raw_key;action:30:unmapped_raw_key;action:31:unmapped_raw_key;action:32:unmapped_raw_key;action:33:unmapped_raw_key;action:34:unmapped_raw_key;action:35:unmapped_raw_key;action:39:unmapped_raw_key;action:41:unmapped_raw_key;action:42:unmapped_raw_key;action:43:unmapped_raw_key;action:44:unmapped_raw_key;action:45:unmapped_raw_key;action:46:unmapped_raw_key;action:47:unmapped_raw_key;action:48:unmapped_raw_key;action:49:unmapped_raw_key;action:51:unmapped_raw_key;action:53:unmapped_raw_key;action:57:unmapped_raw_key;action:60:unmapped_raw_key;action:63:unmapped_raw_key;action:65:unmapped_raw_key;action:70:unmapped_raw_key;action:73:unmapped_raw_key;action:83:unmapped_raw_key;action:90:unmapped_raw_key;action:96:unmapped_raw_key;action:168:unmapped_raw_key,yes,0,0,0,0,0,CodexTelemetryReview,"Battery and generator power-up completed after tutor guidance. Ignored startup-frame unmapped/VSI/throttle telemetry noise, which is not a task action.",human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S02,Fire test A completed with correct aural/visual indications. Fire test B completed after ~10s pause.,P1,yes,yes,yes,,0,,,,,progression_to:S03,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,"Manual review treats raw fire-test completion timing as unreliable for order scoring. Participant/observer indicates the fire-test sequence was performed correctly and both sides completed, so no OM/OR coded for S02.",human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S03,APU switch ON. APU READY light illuminated.,P1,yes,yes,yes,1780095483.9591718,1,apu_switch,apu_switch,S03,S03,help_cycle:403a0c23-5b70-4162-b20d-6a6af6dd6a01;frames:1780095483534_000001;progression_to:S06,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,APU start support completed after tutor guidance; no error coded.,human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S04,ENG CRANK switch set to RIGHT; right engine spool-up observed.,P2,yes,yes,yes,,0,,,,,progression_to:S06,0,0,1,0,1,medium,action:1:precondition_gate:s04_requires_apu_start_support_complete;action:1:out_of_order_before:S03,yes,0,0,0,0,0,CodexTelemetryReview,Right engine crank completion observed after APU-ready evidence; ignored startup-frame ENGINE_CRANK_SW value as initial-state noise.,human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S05,Right throttle at IDLE. Throttle moved when RPM >=25%.,P2,yes,yes,yes,,0,,,,,progression_to:S06,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Right throttle idle completion observed after RPM crossed 25%; ignored transient derived-throttle noise before the real throttle advance.,human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S06,BLEED AIR knob rotated full clockwise back to NORM.,P2,no,yes,yes,1780095521.7217197,1,bleed_air_knob,bleed_air_knob,S06,S06,help_cycle:c84bafd5-84c3-4800-b78e-bb881064f8f1;frames:1780095521277_000002;progression_to:S07,0,1,0,0,1,medium,action:1339:unexpected_for_active_step;action:1340:unexpected_for_active_step;action:1341:unexpected_for_active_step;action:1342:unexpected_for_active_step;action:1343:unexpected_for_active_step;action:1344:unexpected_for_active_step;action:1345:unexpected_for_active_step;action:1346:unexpected_for_active_step;action:1347:unexpected_for_active_step;action:1348:unexpected_for_active_step;action:1349:unexpected_for_active_step;action:1350:unexpected_for_active_step;action:1351:unexpected_for_active_step;action:1352:unexpected_for_active_step;action:1353:unexpected_for_active_step;action:1679:precondition_gate:s06_requires_rpm_r_gte_60;action:1687:precondition_gate:s06_requires_rpm_r_gte_60;action:1700:precondition_gate:s06_requires_rpm_r_gte_60;action:1707:precondition_gate:s06_requires_rpm_r_gte_60,yes,0,0,0,0,1,CodexTelemetryReview,"Bleed-air cycle completed, but the participant operated the bleed-air knob while right RPM was still about 38-40 and before rpm_r_gte_60 became true. Coded SV=1; this appears tutor-induced because the help message already instructed the action while the missing condition was still rpm >=60.",human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S07,Light test executed with all annunciators verified.,P2,no,yes,yes,1780095532.2465568,1,lights_test_button,lights_test_button,S07,S07,help_cycle:7b892628-824c-44ca-a6ce-33567223bd1e;frames:1780095531773_000003;progression_to:S08,0,1,0,0,0,medium,action:1792:unmapped_raw_key;action:1844:unmapped_raw_key;action:1849:unexpected_for_active_step;action:1881:unmapped_raw_key;action:1903:unmapped_raw_key,yes,0,0,0,0,0,CodexTelemetryReview,Lights test action and lights_test_complete evidence observed after tutor guidance; no error coded.,human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S08,Left DDI shows FCS page; right DDI shows BIT page. MPCD and HUD powered.,P3,no,yes,yes,1780095549.3410966,2,left_mdi_brightness_selector;right_mdi_brightness_selector;ampcd_off_brightness_knob;hud_symbology_brightness_knob,left_mdi_pb18,S08,S08,help_cycle:041d787d-9cb7-4b57-be4e-e291f51352f8;frames:1780095542585_000004;help_cycle:4216433e-c1a4-4a94-88fd-28d05e85a57e;frames:1780095572887_000005;progression_to:S09,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Display power-up and left DDI page recovery completed. Multi-target display-power highlight and VLM page facts supported the step; no user error coded.,human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S09,COMM1 preset 1 frequency programmed to 134.000 MHz.,P3,no,yes,yes,1780095593.9629807,1,ufc_comm1_channel_selector_pull,ufc_comm1_channel_selector_pull,S09,S09,help_cycle:5d9a378b-59e1-4d2f-9eb5-bca37b6dab7a;frames:1780095587229_000006;progression_to:S10,0,0,1,0,1,medium,action:1849:precondition_gate:s09_requires_left_ddi_on;action:1849:out_of_order_before:S08,yes,0,0,0,0,0,CodexTelemetryReview,"COMM1 frequency entry completed: UFC COMM1 pull, 1-3-4-0-0-0, ENT, and comm1_freq_134_000=true. Ignored earlier first-seen COMM1 channel value as stale/initial selector state.",human_error_columns_blank;completed_inferred_from_progression
P04,with_tutor,T01,S10,ENG CRANK switch set to LEFT; left engine spool-up observed.,P4,yes,yes,yes,1780095605.477215,1,eng_crank_switch,eng_crank_switch,S10,S10,help_cycle:e249d452-154c-44dc-a18d-0beb3c9d6af5;frames:1780095604971_000007;terminal_s33:aff49c66-4d6d-46aa-a3ef-bf62f75aa595,0,1,0,0,1,medium,action:1:precondition_gate:s10_requires_right_engine_nominal_start_params;action:951:precondition_gate:s10_requires_right_engine_nominal_start_params;action:1851:precondition_gate:s10_requires_right_engine_nominal_start_params;action:3541:unexpected_for_active_step;action:3542:unexpected_for_active_step;action:3543:unexpected_for_active_step;action:3544:unexpected_for_active_step;action:3545:unexpected_for_active_step;action:3546:unexpected_for_active_step;action:3547:unexpected_for_active_step;action:3548:unexpected_for_active_step;action:3549:unexpected_for_active_step;action:3550:unexpected_for_active_step;action:3551:unexpected_for_active_step;action:3552:unexpected_for_active_step;action:3553:unexpected_for_active_step;action:3554:unexpected_for_active_step;action:3555:unexpected_for_active_step;action:3556:unexpected_for_active_step,yes,0,0,0,0,0,CodexTelemetryReview,Left engine crank completion observed after right engine stabilized and COMM frequency was set; ignored auto flags from initial/crank telemetry artifacts.,human_error_columns_blank;completed_inferred_from_terminal_s33
