ParticipantID,Condition,TrialID,StepID,StepTitle,Phase,Critical,Performed,Completed,FirstHelpTime_sec,HelpCount,FirstOverlayTargets,LastOverlayTargets,FirstFusedStepID,LastFusedStepID,EvidenceRefs,Auto_Error_OM,Auto_Error_CO,Auto_Error_OR,Auto_Error_PA,Auto_Error_SV,AutoConfidence,AutoEvidenceRefs,NeedsHumanReview,Error_OM,Error_CO,Error_OR,Error_PA,Error_SV,CoderID,CoderNotes,AutoCodingNotes
P06,without_tutor,T01,S01,BATTERY switch ON. Left/Right GEN switches in NORM/ON.,P1,yes,yes,yes,,0,,,,,passive_gate:S01:s01_requires_battery_on;telemetry_var:vars.battery_on;passive_gate:S01:s01_requires_l_gen_on;telemetry_var:vars.l_gen_on;passive_gate:S01:s01_requires_r_gen_on;telemetry_var:vars.r_gen_on;action:BATTERY_SW,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Battery and both generator switches reached the required powered state; no error coded.,human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S02,Fire test A completed with correct aural/visual indications. Fire test B completed after ~10s pause.,P1,yes,yes,yes,,0,,,,,passive_gate:S02:s02_requires_fire_test_a;telemetry_var:vars.fire_test_a_complete;passive_gate:S02:s02_requires_fire_test_b;telemetry_var:vars.fire_test_b_complete,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,"Manual review treats raw fire-test completion timing as unreliable for order scoring. Participant/observer indicates the fire-test sequence was performed correctly and both sides completed, so no OM/OR coded for S02.",human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S03,APU switch ON. APU READY light illuminated.,P1,yes,yes,yes,,0,,,,,passive_gate:S03:s03_requires_apu_start_support_complete;telemetry_var:vars.apu_start_support_complete,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,APU start support completed and APU-ready evidence was observed; no error coded.,human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S04,ENG CRANK switch set to RIGHT; right engine spool-up observed.,P2,yes,yes,yes,,0,,,,,passive_gate:S04:s04_requires_engine_crank_right;telemetry_var:vars.engine_crank_right_complete;action:ENGINE_CRANK_SW,0,0,1,0,1,medium,action:1:precondition_gate:s04_requires_apu_start_support_complete;action:1:out_of_order_before:S03,yes,0,0,0,0,0,CodexTelemetryReview,Right engine crank completion occurred after APU-ready evidence. Ignored first-frame ENGINE_CRANK_SW initial value as startup-state noise.,human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S05,Right throttle at IDLE. Throttle moved when RPM >=25%.,P2,yes,yes,yes,,0,,,,,passive_gate:S05:s05_requires_rpm_r_gte_25;telemetry_var:vars.rpm_r;passive_gate:S05:s05_requires_throttle_right_idle;telemetry_var:vars.throttle_r_idle_complete,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Right throttle idle completion was observed after right RPM crossed 25%; ignored transient initial throttle-derived noise.,human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S06,BLEED AIR knob rotated full clockwise back to NORM.,P2,no,yes,yes,,0,,,,,passive_gate:S06:s06_requires_bleed_air_norm;telemetry_var:vars.bleed_air_cycle_complete;action:BLEED_AIR_KNOB,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,Bleed-air cycle completed after right RPM reached >=60%; no error coded.,human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S07,Light test executed with all annunciators verified.,P2,no,no,no,,0,,,,,,1,0,0,0,0,high,om:not_completed,yes,1,0,0,0,0,CodexTelemetryReview,No LIGHTS TEST action or lights_test_complete evidence was recorded; coded omission.,human_error_columns_blank;no_step_evidence_found
P06,without_tutor,T01,S08,Left DDI shows FCS page; right DDI shows BIT page. MPCD and HUD powered.,P3,no,yes,yes,,0,,,,,passive_gate:S08:s08_requires_left_ddi_on;telemetry_var:vars.left_ddi_on;passive_gate:S08:s08_requires_right_ddi_on;telemetry_var:vars.right_ddi_on;passive_gate:S08:s08_requires_mpcd_on;telemetry_var:vars.mpcd_on;passive_gate:S08:s08_requires_hud_on;telemetry_var:vars.hud_on;action:HUD_SYM_BRT,0,0,0,0,0,,,no,0,0,0,0,0,CodexTelemetryReview,"Left/right DDI, AMPCD, and HUD power-on evidence all became true; no error coded.",human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S09,COMM1 preset 1 frequency programmed to 134.000 MHz.,P3,no,yes,yes,,0,,,,,passive_gate:S09:s09_requires_comm1_freq_134_000;telemetry_var:vars.comm1_freq_134_000;action:COMM1_FREQ,0,0,1,0,1,medium,action:2029:precondition_gate:s09_requires_left_ddi_on;action:2029:out_of_order_before:S08,yes,0,0,0,0,0,CodexTelemetryReview,COMM1 pull and UFC 1-3-4-0-0-0 sequence were observed and comm1_freq_134_000 became true. Ignored auto OR/SV from earlier channel/selector state because the actual frequency entry happened after display power-up.,human_error_columns_blank;completed_from_passive_gate
P06,without_tutor,T01,S10,ENG CRANK switch set to LEFT; left engine spool-up observed.,P4,yes,yes,yes,,0,,,,,passive_gate:S10:s10_requires_engine_crank_left_complete;telemetry_var:vars.engine_crank_left_complete;action:ENGINE_CRANK_SW,0,0,0,0,1,medium,action:1:precondition_gate:s10_requires_right_engine_nominal_start_params;action:1134:precondition_gate:s10_requires_right_engine_nominal_start_params;action:2031:precondition_gate:s10_requires_right_engine_nominal_start_params,yes,0,0,0,0,0,CodexTelemetryReview,Left engine crank completion was observed after right RPM reached >=60%; ignored initial/crank telemetry artifacts.,human_error_columns_blank;completed_from_passive_gate
