field,value
age_range,25-34
assignment_P01_assigned,
assignment_P01_experimenter,
assignment_P01_notes,
assignment_P01_participant,P01
assignment_P01_suggested,with_tutor
assignment_P01_trial,T01
assignment_P02_assigned,
assignment_P02_experimenter,
assignment_P02_notes,
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,
assignment_P03_experimenter,
assignment_P03_notes,
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,
assignment_P04_experimenter,
assignment_P04_notes,
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,
assignment_P05_experimenter,
assignment_P05_notes,
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,without_tutor
assignment_P06_experimenter,
assignment_P06_notes,
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,
assignment_P07_experimenter,
assignment_P07_notes,
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,
assignment_P08_experimenter,
assignment_P08_notes,
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,
assignment_P09_experimenter,
assignment_P09_notes,
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,
assignment_P10_experimenter,
assignment_P10_notes,
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,
assignment_P11_experimenter,
assignment_P11_notes,
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,
assignment_P12_experimenter,
assignment_P12_notes,
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,7
baseline_checklist_format,VR kneeboard
baseline_checklist_no_hmd_removal,yes
baseline_checklist_used,yes
checklist_pages,DCS FA-18C Early Access Guide CN pp.93-98 on VR kneeboard
cold_start_experience,can complete
completed,不
condition,without_tutor
condition_specific_notes,"Passive without_tutor run: 0 help requests, 0 LLM triggers, 0 VLM calls, 0 overlays. Telemetry-only coding was used. Auto export reports 29/33 steps completed; manual review treats S18/S19 as control-action supported but visually unverified, and identifies S07 omission, S27 final flap wrong/not completed, and S30 final standby-altimeter setting wrong. S02 fire-test order telemetry was overridden as unreliable and not coded as an error."
confidence_before,7
date,2026-05-30
dcs_aircraft,FA-18C_hornet
dcs_experience,frequent
dcs_mission,
dominant_hand,right
end_reason,参与者停止/试验结束；仍有人工编码错误项
end_time,23:44:16Z
experimenter_id,E01
experimenter_intervention,没有任何
fa18c_experience,experienced
flight_sim_experience,frequent
git_commit,
git_dirty,not recorded
help_hotkey,X1
hotas_experience,frequent
launcher_used,no; manual/passive live-dcs command inferred from exported log
manual_coding_required,yes
model_endpoint,"n/a; without_tutor passive run, no model calls"
monitor_setup,fa18c_composite_panel_v2
multi_target_overlay_visible,not applicable
notable_request_ids,n/a; help_requests=0
obs_1_notes,Raw fire-test completion timing is treated as unreliable for order scoring; S02 OR was changed from 1 to 0.
obs_1_observation,Fire-test A/B completion order was not coded as an error after manual review.
obs_1_participant_behavior,Participant completed both fire-test sides; observer/user feedback indicates the perceived order was correct.
obs_1_request_id,n/a
obs_1_severity,info
obs_1_step_phase,S02 / P1
obs_1_system_behavior,Passive recording only; no tutor/model/overlay active.
obs_1_time,23:39:58Z-23:40:09Z
obs_2_notes,Coded OM=1 on S07.
obs_2_observation,No lights-test completion evidence was recorded.
obs_2_participant_behavior,Participant proceeded past the lights-test point without LIGHTS TEST telemetry.
obs_2_request_id,n/a
obs_2_severity,moderate
obs_2_step_phase,S07 / P2
