field,value
age_range,25-34
assignment_P01_assigned,
assignment_P01_experimenter,
assignment_P01_notes,not part of this corrected P09/T01 trial
assignment_P01_participant,
assignment_P01_suggested,with_tutor
assignment_P01_trial,
assignment_P02_assigned,n/a
assignment_P02_experimenter,n/a
assignment_P02_notes,not part of this exported P09/T01 trial
assignment_P02_participant,P02
assignment_P02_suggested,without_tutor
assignment_P02_trial,T01
assignment_P03_assigned,n/a
assignment_P03_experimenter,n/a
assignment_P03_notes,not part of this exported P09/T01 trial
assignment_P03_participant,P03
assignment_P03_suggested,without_tutor
assignment_P03_trial,T01
assignment_P04_assigned,n/a
assignment_P04_experimenter,n/a
assignment_P04_notes,not part of this exported P09/T01 trial
assignment_P04_participant,P04
assignment_P04_suggested,with_tutor
assignment_P04_trial,T01
assignment_P05_assigned,n/a
assignment_P05_experimenter,n/a
assignment_P05_notes,not part of this exported P09/T01 trial
assignment_P05_participant,P05
assignment_P05_suggested,with_tutor
assignment_P05_trial,T01
assignment_P06_assigned,n/a
assignment_P06_experimenter,n/a
assignment_P06_notes,not part of this exported P09/T01 trial
assignment_P06_participant,P06
assignment_P06_suggested,without_tutor
assignment_P06_trial,T01
assignment_P07_assigned,n/a
assignment_P07_experimenter,n/a
assignment_P07_notes,not part of this exported P09/T01 trial
assignment_P07_participant,P07
assignment_P07_suggested,without_tutor
assignment_P07_trial,T01
assignment_P08_assigned,n/a
assignment_P08_experimenter,n/a
assignment_P08_notes,not part of this exported P09/T01 trial
assignment_P08_participant,P08
assignment_P08_suggested,with_tutor
assignment_P08_trial,T01
assignment_P09_assigned,with_tutor
assignment_P09_experimenter,E01
assignment_P09_notes,Actual exported trial was originally P01/T02 with_tutor; corrected to P09/T01 because P01/T01 and this trial were different participants.
assignment_P09_participant,P09
assignment_P09_suggested,with_tutor
assignment_P09_trial,T01
assignment_P10_assigned,n/a
assignment_P10_experimenter,n/a
assignment_P10_notes,not part of this exported P09/T01 trial
assignment_P10_participant,P10
assignment_P10_suggested,without_tutor
assignment_P10_trial,T01
assignment_P11_assigned,n/a
assignment_P11_experimenter,n/a
assignment_P11_notes,not part of this exported P09/T01 trial
assignment_P11_participant,P11
assignment_P11_suggested,without_tutor
assignment_P11_trial,T01
assignment_P12_assigned,n/a
assignment_P12_experimenter,n/a
assignment_P12_notes,not part of this exported P09/T01 trial
assignment_P12_participant,P12
assignment_P12_suggested,with_tutor
assignment_P12_trial,T01
aviation_english_familiarity,1
baseline_checklist_format,VR kneeboard
baseline_checklist_no_hmd_removal,yes
baseline_checklist_used,yes
checklist_pages,DCS FA-18C Early Access Guide CN pp.93-98 on VR kneeboard
cold_start_experience,none
completed,yes
condition,with_tutor
condition_specific_notes,"With-tutor run completed end-to-end. Telemetry/log summary: HelpRequests=44, LLMTriggers=44, VLMCalls=10, OverlayExecuted=44, OverlayRejected=0, FallbackCount=9, TotalStepsCompleted=33/33. Visual chain was available for S08/S18/S19; one S20/S21 refuel-probe oscillation was observed from novice confusion plus prior tutor prompt coupling. Participant ID correction: original export P01/T02 is now coded as P09/T01 because P01/T01 and P01/T02 were different people."
confidence_before,3.5
date,2026-05-28
dcs_aircraft,FA-18C_hornet
dcs_experience,none
dcs_mission,FA-18C airfield cold-start trial; exact .miz name not recorded in telemetry
dominant_hand,right
end_reason,completed
end_time,23:55:17Z
experimenter_id,E01
experimenter_intervention,仅限技术方面
fa18c_experience,none
flight_sim_experience,none
git_commit,d624df1
git_dirty,yes; paper/*.tex and paper/references.bib modified at review time
help_hotkey,X1
hotas_experience,none
launcher_used,no; manual live-dcs command inferred from exported log
manual_coding_required,yes
model_endpoint,"not recorded in exported telemetry; model calls succeeded in log (LLM=44, VLM=10)"
monitor_setup,fa18c_composite_panel_v2
multi_target_overlay_visible,yes
